case_id,task,resource,start_time,completion_time,ApplicationType,LoanGoal,RequestedAmount
1,W_Complete application,User_53,2020-01-01 00:00:23.386801,2020-01-01 00:09:32.490746,"New credit","Home improvement","4430.174422963953"
0,W_Complete application,User_52,2020-01-01 00:00:23.357801,2020-01-01 00:17:11.544313,"New credit","Existing loan takeover","408.10862288989114"
2,W_Handle leads,User_52,2020-01-01 00:17:11.544313,2020-01-01 00:24:35.449733,"New credit","Car","61470.93271703043"
3,W_Complete application,User_53,2020-01-01 00:17:11.544313,2020-01-01 00:28:56.889713,"New credit","Home improvement","12657.473768689772"
4,W_Complete application,User_52,2020-01-01 00:24:35.449733,2020-01-01 00:35:27.924288,"New credit","Car","9.205188465043536"
5,W_Complete application,User_53,2020-01-01 00:28:56.889713,2020-01-01 00:37:18.294307,"Limit raise","Existing loan takeover","1.292180322185062"
6,W_Complete application,User_52,2020-01-01 00:35:27.924288,2020-01-01 00:45:05.598575,"New credit","Home improvement","6245.486131058578"
7,W_Complete application,User_53,2020-01-01 00:37:18.294307,2020-01-01 00:45:45.442963,"New credit","Unknown","24.505673857286332"
9,W_Complete application,User_53,2020-01-01 00:45:45.442963,2020-01-01 00:54:19.096968,"New credit","Home improvement","3223.3885146976495"
8,W_Complete application,User_52,2020-01-01 00:45:05.598575,2020-01-01 00:55:27.011459,"New credit","Car","13.235226467383498"
10,W_Handle leads,User_52,2020-01-01 00:55:27.011459,2020-01-01 00:57:29.013086,"New credit","Home improvement","19317.172010105864"
11,W_Complete application,User_53,2020-01-01 00:55:27.011459,2020-01-01 01:03:05.334882,"New credit","Car","33246.63008405885"
12,W_Complete application,User_52,2020-01-01 00:57:29.013086,2020-01-01 01:09:27.699802,"New credit","Car","775.7912572272811"
13,W_Call after offers,User_75,2020-01-01 01:00:00.000000,2020-01-01 01:10:51.042536,"New credit","Not speficied","53910.96647373693"
14,W_Complete application,User_53,2020-01-01 01:03:05.334882,2020-01-01 01:11:59.833718,"New credit","Home improvement","39742.793278739904"
15,W_Complete application,User_52,2020-01-01 01:09:27.699802,2020-01-01 01:26:18.787681,"New credit","Existing loan takeover","1.1094013206590998"
17,W_Handle leads,User_52,2020-01-01 01:26:18.787681,2020-01-01 01:27:27.583203,"Limit raise","Car","5151.563006184279"
16,W_Complete application,User_75,2020-01-01 01:10:51.042536,2020-01-01 01:28:18.254166,"New credit","Car","82.9993669279351"
18,W_Complete application,User_53,2020-01-01 01:26:18.787681,2020-01-01 01:32:40.792823,"New credit","Car","2406.102654846318"
19,W_Complete application,User_52,2020-01-01 01:27:27.583203,2020-01-01 01:40:21.928736,"New credit","Car","46013.35037261949"
21,W_Complete application,User_53,2020-01-01 01:32:40.792823,2020-01-01 01:41:04.244796,"New credit","Car","2.6117120659134945"
20,W_Complete application,User_75,2020-01-01 01:28:18.254166,2020-01-01 01:46:44.613926,"New credit","Unknown","12550.379733359605"
23,W_Complete application,User_53,2020-01-01 01:41:04.244796,2020-01-01 01:48:31.159867,"New credit","Home improvement","0.012324528680870323"
24,W_Call after offers,User_75,2020-01-01 01:46:44.613926,2020-01-01 01:53:48.769974,"Limit raise","Other, see explanation","51166.31230469127"
22,W_Complete application,User_52,2020-01-01 01:40:21.928736,2020-01-01 01:54:30.511405,"New credit","Existing loan takeover","3974.906053797208"
25,W_Complete application,User_53,2020-01-01 01:48:31.159867,2020-01-01 01:55:52.716872,"New credit","Unknown","524.7494319275658"
27,W_Call after offers,User_52,2020-01-01 01:54:30.511405,2020-01-01 01:57:19.167570,"New credit","Home improvement","5867.327953088502"
28,W_Complete application,User_53,2020-01-01 01:55:52.716872,2020-01-01 02:04:12.576366,"New credit","Car","1487.7308792548747"
26,W_Complete application,User_75,2020-01-01 01:53:48.769974,2020-01-01 02:04:29.789017,"New credit","Car","29234.322417219722"
1,W_Complete application,User_52,2020-01-01 01:57:19.167570,2020-01-01 02:05:33.755611,"New credit","Home improvement","4430.174422963953"
29,W_Call after offers,User_53,2020-01-01 02:04:12.576366,2020-01-01 02:16:04.762376,"New credit","Extra spending limit","79891.14851705485"
31,W_Complete application,User_52,2020-01-01 02:05:33.755611,2020-01-01 02:18:32.948635,"New credit","Car","3256.668212987607"
30,W_Complete application,User_75,2020-01-01 02:04:29.789017,2020-01-01 02:19:49.326116,"New credit","Car","2151.6287063202535"
33,W_Handle leads,User_52,2020-01-01 02:18:32.948635,2020-01-01 02:21:58.692711,"New credit","Home improvement","2554.7411434743135"
